src:port,sep,dst:port,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
144.93.121.86:29972,<->,144.93.120.28:t2-drm,100,20400,0,0,100,20400,0.008875000,1.9800
144.93.120.177:44662,<->,144.93.121.86:19908,0,0,100,20400,100,20400,0.008585000,1.9800
144.93.121.10:53786,<->,144.93.120.177:46674,100,20400,0,0,100,20400,0.008581000,1.9800
144.93.121.10:40550,<->,144.93.125.49:37380,100,20400,0,0,100,20400,0.008537000,1.9800
144.93.120.177:42872,<->,144.93.121.50:32816,0,0,100,20400,100,20400,0.008528000,1.9800
144.93.121.50:44724,<->,144.93.120.177:13988,100,20400,0,0,100,20400,0.008367000,1.9800
144.93.120.177:28364,<->,144.93.121.50:23476,0,0,100,20400,100,20400,0.008290000,1.9800
144.93.120.28:56696,<->,144.93.121.10:43352,0,0,100,20400,100,20400,0.008229000,1.9799
144.93.120.177:49532,<->,144.93.121.48:24404,0,0,100,20400,100,20400,0.008180000,1.9800
144.93.120.177:60588,<->,144.93.121.86:7474,0,0,100,20400,100,20400,0.008047000,1.9800
144.93.120.177:58168,<->,144.93.121.48:30064,0,0,100,20400,100,20400,0.007805000,1.9800
144.93.121.48:62236,<->,144.93.120.177:35654,100,20400,0,0,100,20400,0.007695000,1.9800
144.93.121.86:58850,<->,144.93.125.49:56004,100,20400,0,0,100,20400,0.007566000,1.9800
144.93.121.48:25732,<->,144.93.120.177:apc-9950,100,20400,0,0,100,20400,0.007403000,1.9800
198.11.192.232:24528,<->,144.93.121.10:20758,0,0,100,20400,100,20400,0.007386000,1.9799
144.93.125.48:49716,<->,144.93.121.86:18276,0,0,100,20400,100,20400,0.007305000,1.9800
144.93.125.48:58228,<->,144.93.121.10:12192,0,0,100,20400,100,20400,0.007263000,1.9790
144.93.121.48:57980,<->,144.93.120.28:56128,100,20400,0,0,100,20400,0.007104000,1.9800
144.93.121.48:58976,<->,144.93.120.28:24740,100,20400,0,0,100,20400,0.006885000,1.9800
144.93.120.177:48112,<->,144.93.121.86:14238,0,0,100,20400,100,20400,0.006517000,1.9800
144.93.121.10:64358,<->,144.93.120.177:51482,100,20400,0,0,100,20400,0.006303000,1.9800
144.93.121.48:44756,<->,144.93.120.177:38772,100,20400,0,0,100,20400,0.005885000,1.9800
