src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
210.137.136.58,<->,144.85.170.246,0,0,326,18256,326,18256,0.105159000,1.8839
227.229.196.216,<->,92.168.217.196,0,0,326,18256,326,18256,0.072186000,1.2633
130.6.43.35,<->,92.27.27.150,0,0,326,455096,326,455096,0.051621000,1.8502
156.151.244.73,<->,8.252.221.220,0,0,324,18144,324,18144,0.174422000,0.3481
220.28.73.211,<->,215.158.238.201,0,0,324,435522,324,435522,0.030717000,1.8252
215.158.238.145,<->,100.216.78.145,322,408374,0,0,322,408374,0.005085000,1.9477
92.168.217.197,<->,74.253.54.147,321,16050,0,0,321,16050,0.014932000,1.9833
215.158.238.152,<->,100.120.38.6,320,401558,0,0,320,401558,0.010216000,1.9351
235.4.166.141,<->,8.43.213.64,0,0,320,16000,320,16000,0.001024000,1.3958
22.36.17.171,<->,8.182.227.71,0,0,319,18732,319,18732,1.616605000,0.3787
252.98.139.157,<->,137.39.55.59,318,457238,0,0,318,457238,1.006802000,0.9830
68.73.42.160,<->,8.252.221.221,0,0,314,23718,314,23718,0.761721000,1.1600
211.184.151.86,<->,8.252.221.230,0,0,310,18160,310,18160,0.113644000,1.7849
215.158.238.197,<->,154.183.124.180,309,21660,0,0,309,21660,0.102024000,1.7886
220.28.114.28,<->,133.178.227.29,0,0,309,427042,309,427042,0.011103000,1.3106
215.158.23.60,<->,94.110.153.218,308,457478,0,0,308,457478,0.021950000,1.9684
152.44.249.112,<->,133.54.43.53,0,0,308,18208,308,18208,0.015562000,1.9752
66.63.105.121,<->,8.252.221.222,0,0,308,17248,308,17248,0.003423000,0.5797
129.236.114.39,<->,33.233.141.10,0,0,307,435262,307,435262,0.124070000,0.0470
92.168.217.229,<->,29.219.3.90,307,17718,0,0,307,17718,0.122445000,1.8245
215.158.23.28,<->,111.150.185.79,304,450503,0,0,304,450503,0.015959000,1.9476
220.28.85.14,<->,215.158.140.245,0,0,303,422282,303,422282,0.002046000,1.6776
133.178.227.52,<->,100.216.78.145,302,425622,0,0,302,425622,0.098917000,1.1637
127.128.203.248,<->,92.168.217.198,0,0,301,15705,301,15705,0.042312000,0.6979
220.28.73.211,<->,133.178.227.36,0,0,301,399140,301,399140,0.019740000,1.9080
99.72.97.154,<->,89.155.205.212,300,443210,0,0,300,443210,0.165153000,1.8179
126.236.92.152,<->,8.9.165.184,0,0,300,16800,300,16800,0.001551000,1.9958
220.28.85.14,<->,215.158.238.129,0,0,298,380386,298,380386,0.000352000,1.9339
92.168.217.204,<->,68.0.157.121,297,17113,0,0,297,17113,0.759063000,1.2330
43.52.217.38,<->,8.252.221.230,0,0,297,22219,297,22219,0.041191000,1.8376
215.158.23.54,<->,120.154.225.199,297,436137,0,0,297,436137,0.018984000,1.9514
100.174.4.83,<->,8.182.227.71,0,0,296,19973,296,19973,0.254588000,1.7427
144.85.170.246,<->,98.87.146.231,294,17291,0,0,294,17291,0.600209000,1.3940
204.95.15.104,<->,50.223.3.228,0,0,293,14650,293,14650,0.000352000,1.9936
215.158.23.52,<->,126.219.102.69,290,430463,0,0,290,430463,0.037452000,1.9196
139.163.161.50,<->,136.25.188.201,0,0,287,402700,287,402700,0.607590000,1.2082
220.28.109.52,<->,136.25.188.166,0,0,285,398582,285,398582,0.204810000,1.7862
126.108.237.91,<->,92.168.217.253,0,0,283,17934,283,17934,0.316406000,1.6755
215.158.238.128,<->,98.219.126.175,282,389024,0,0,282,389024,0.096098000,1.8045
220.28.115.46,<->,133.178.227.45,0,0,282,368672,282,368672,0.013004000,1.8836
215.158.197.71,<->,133.178.226.214,0,0,281,17354,281,17354,0.715069000,1.0282
220.28.85.14,<->,215.158.238.101,0,0,281,375110,281,375110,0.050235000,1.9202
215.158.238.91,<->,100.216.78.145,280,401682,0,0,280,401682,0.441137000,0.4817
215.158.140.185,<->,56.51.205.138,280,16829,0,0,280,16829,0.285926000,0.4186
