frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,_ws.col.Info
"140","Apr 22, 2011 13:24:10.520845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=24606 Win=4128 Len=0"
"141","Apr 22, 2011 13:24:11.137845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"142","Apr 22, 2011 13:24:11.166845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"143","Apr 22, 2011 13:24:11.201845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=25142 Win=3592 Len=0"
"144","Apr 22, 2011 13:24:11.250845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=25678 Win=3056 Len=0"
"145","Apr 22, 2011 13:24:11.270845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=25678 Win=3592 Len=0"
"146","Apr 22, 2011 13:24:11.303845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=25678 Win=4128 Len=0"
"147","Apr 22, 2011 13:24:11.971845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"148","Apr 22, 2011 13:24:12.042845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"149","Apr 22, 2011 13:24:12.049845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=26214 Win=3592 Len=0"
"150","Apr 22, 2011 13:24:12.083845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=26214 Win=4128 Len=0"
"151","Apr 22, 2011 13:24:12.117845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=26750 Win=3592 Len=0"
"152","Apr 22, 2011 13:24:12.156845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=26750 Win=4128 Len=0"
"153","Apr 22, 2011 13:24:12.805845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"154","Apr 22, 2011 13:24:12.864845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=27286 Win=3592 Len=0"
"155","Apr 22, 2011 13:24:12.897845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=27286 Win=4128 Len=0"
"156","Apr 22, 2011 13:24:13.546845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"157","Apr 22, 2011 13:24:13.621845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=27822 Win=3592 Len=0"
"158","Apr 22, 2011 13:24:13.647845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","480","[TCP segment of a reassembled PDU]"
"159","Apr 22, 2011 13:24:13.655845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=27822 Win=4128 Len=0"
"160","Apr 22, 2011 13:24:13.709845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=28248 Win=3702 Len=0"
"161","Apr 22, 2011 13:24:14.346845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"162","Apr 22, 2011 13:24:14.378845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
