src,<->,dest,in_frames,in_bytes,out_frames,out_bytes,total_frames,total_bytes,rel_start,duration
199.24.13.33,<->,8.53.1.205,0,0,1,84,1,84,1.844319000,0.0000
194.209.34.72,<->,8.250.151.29,0,0,1,704,1,704,1.840798000,0.0000
140.17.122.242,<->,92.170.49.231,0,0,1,50,1,50,1.839168000,0.0000
239.66.177.184,<->,100.94.63.248,0,0,1,98,1,98,1.838278000,0.0000
89.183.104.238,<->,76.180.48.254,1,100,0,0,1,100,1.836928000,0.0000
136.25.188.106,<->,123.130.129.156,1,100,0,0,1,100,1.833584000,0.0000
142.200.21.47,<->,8.52.165.54,0,0,1,1002,1,1002,1.831779000,0.0000
131.128.233.183,<->,8.220.193.21,0,0,1,704,1,704,1.825773000,0.0000
142.200.155.49,<->,20.123.155.57,0,0,1,100,1,100,1.822579000,0.0000
33.233.141.30,<->,8.182.121.33,1,68,0,0,1,68,1.821098000,0.0000
131.68.53.195,<->,109.1.61.202,0,0,1,60,1,60,1.815513000,0.0000
97.126.31.80,<->,29.211.224.183,1,1002,0,0,1,1002,1.810604000,0.0000
192.224.197.11,<->,73.186.221.255,1,704,0,0,1,704,1.809953000,0.0000
204.126.215.57,<->,8.53.8.233,0,0,1,84,1,84,1.806162000,0.0000
144.87.235.187,<->,8.188.179.5,1,68,0,0,1,68,1.805519000,0.0000
101.70.118.227,<->,56.107.48.212,1,68,0,0,1,68,1.799928000,0.0000
215.158.238.155,<->,8.191.134.189,1,72,0,0,1,72,1.796063000,0.0000
125.152.68.198,<->,39.150.207.107,0,0,1,60,1,60,1.791374000,0.0000
192.224.197.11,<->,8.182.120.235,1,704,0,0,1,704,1.787896000,0.0000
93.157.253.183,<->,8.52.187.45,0,0,1,1002,1,1002,1.787661000,0.0000
192.67.171.106,<->,135.85.163.173,1,580,0,0,1,580,1.786200000,0.0000
195.43.246.251,<->,136.25.188.211,0,0,1,129,1,129,1.785687000,0.0000
140.19.166.183,<->,8.52.240.220,0,0,1,1002,1,1002,1.785197000,0.0000
135.64.101.139,<->,20.59.201.50,0,0,1,60,1,60,1.785193000,0.0000
204.98.230.33,<->,39.26.196.109,0,0,1,94,1,94,1.781723000,0.0000
199.13.96.222,<->,39.152.255.125,0,0,1,60,1,60,1.781284000,0.0000
109.14.213.84,<->,80.56.78.128,0,0,1,196,1,196,1.780120000,0.0000
38.188.151.225,<->,20.151.101.68,0,0,1,103,1,103,1.778171000,0.0000
158.54.61.103,<->,138.98.230.77,0,0,1,96,1,96,1.776922000,0.0000
195.80.56.77,<->,20.57.96.153,0,0,1,60,1,60,1.774036000,0.0000
199.111.23.145,<->,20.7.109.134,0,0,1,95,1,95,1.774008000,0.0000
207.20.188.102,<->,39.221.27.219,0,0,1,98,1,98,1.766431000,0.0000
215.158.140.27,<->,131.36.211.148,1,84,0,0,1,84,1.754575000,0.0000
204.76.112.88,<->,39.192.121.15,0,0,1,96,1,96,1.752008000,0.0000
136.129.109.170,<->,20.6.49.213,0,0,1,94,1,94,1.749881000,0.0000
215.158.239.117,<->,57.210.104.184,1,68,0,0,1,68,1.749458000,0.0000
204.131.116.206,<->,20.18.9.25,0,0,1,60,1,60,1.747641000,0.0000
61.35.57.29,<->,39.20.154.131,0,0,1,94,1,94,1.746373000,0.0000
199.79.27.188,<->,39.49.28.0,0,0,1,106,1,106,1.743480000,0.0000
193.21.29.226,<->,99.72.180.56,0,0,1,184,1,184,1.738929000,0.0000
199.79.27.188,<->,39.48.43.157,0,0,1,104,1,104,1.738850000,0.0000
215.158.2.49,<->,8.176.8.237,0,0,1,139,1,139,1.733864000,0.0000
255.133.229.164,<->,22.59.31.115,0,0,1,100,1,100,1.725624000,0.0000
145.177.18.14,<->,20.225.97.201,0,0,1,97,1,97,1.723544000,0.0000
143.170.100.10,<->,8.53.14.227,0,0,1,84,1,84,1.723083000,0.0000
215.158.238.205,<->,8.223.246.237,1,1002,0,0,1,1002,1.722977000,0.0000
113.65.136.161,<->,39.51.246.8,0,0,1,72,1,72,1.722966000,0.0000
255.133.229.164,<->,39.202.171.223,0,0,1,100,1,100,1.722818000,0.0000
215.158.106.41,<->,136.25.189.137,0,0,1,1004,1,1004,1.719138000,0.0000
29.211.110.56,<->,8.220.176.226,0,0,1,704,1,704,1.719081000,0.0000
141.108.105.215,<->,20.18.119.54,0,0,1,50,1,50,1.717533000,0.0000
248.239.187.198,<->,116.38.118.146,1,60,0,0,1,60,1.715508000,0.0000
215.158.2.49,<->,8.176.8.188,0,0,1,139,1,139,1.712930000,0.0000
95.104.30.132,<->,39.33.64.254,0,0,1,108,1,108,1.712438000,0.0000
215.158.238.205,<->,8.245.10.23,1,704,0,0,1,704,1.711943000,0.0000
207.11.207.11,<->,39.8.21.74,0,0,1,108,1,108,1.711538000,0.0000
138.98.233.218,<->,98.8.90.134,1,60,0,0,1,60,1.706581000,0.0000
113.65.136.161,<->,39.51.246.18,0,0,1,72,1,72,1.706474000,0.0000
124.123.208.85,<->,39.135.223.159,0,0,1,94,1,94,1.705578000,0.0000
136.25.189.52,<->,131.173.115.1,1,704,0,0,1,704,1.704862000,0.0000
106.216.124.242,<->,20.80.232.32,0,0,1,60,1,60,1.704530000,0.0000
199.13.212.3,<->,39.153.33.20,0,0,1,94,1,94,1.704418000,0.0000
136.14.200.42,<->,20.111.98.239,0,0,1,60,1,60,1.694430000,0.0000
215.158.140.240,<->,192.170.158.219,1,704,0,0,1,704,1.689752000,0.0000
158.55.226.34,<->,89.183.104.134,0,0,1,80,1,80,1.689560000,0.0000
