src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
196.107.168.131:58063,<->,215.158.239.49:https,0,0,6,312,6,312,1.273715000,0.6752
199.20.31.208:46987,<->,215.158.239.87:https,0,0,6,400,6,400,1.272169000,0.1602
122.193.57.250:63110,<->,8.52.183.96:http,0,0,6,413,6,413,1.271236000,0.4690
224.9.40.222:57460,<->,100.228.42.205:https,0,0,6,5002,6,5002,1.271172000,0.0528
106.188.183.208:56280,<->,215.158.238.66:http,0,0,6,3344,6,3344,1.269964000,0.5717
38.104.11.118:43915,<->,133.178.227.57:http,0,0,6,2445,6,2445,1.266523000,0.5720
122.193.57.250:63106,<->,8.52.183.96:http,0,0,6,413,6,413,1.266494000,0.3914
196.104.65.18:37350,<->,215.158.239.97:https,0,0,6,448,6,448,1.265978000,0.0197
252.98.135.226:47674,<->,106.5.211.8:http,6,450,0,0,6,450,1.265502000,0.1582
8.191.6.90:45334,<->,133.178.226.30:https,0,0,6,1541,6,1541,1.263243000,0.0829
144.87.238.91:59467,<->,8.182.253.40:http,0,0,6,1877,6,1877,1.262479000,0.0596
195.55.190.198:33234,<->,215.158.239.56:https,0,0,6,645,6,645,1.262448000,0.3863
6.117.57.68:39904,<->,8.182.244.196:https,0,0,6,675,6,675,1.260192000,0.2111
204.187.230.47:ems,<->,136.25.188.225:https,0,0,6,1857,6,1857,1.259903000,0.6198
207.232.222.142:54680,<->,133.54.28.143:http,0,0,6,652,6,652,1.255103000,0.3848
0.47.243.72:54311,<->,92.168.217.198:http,0,0,6,595,6,595,1.253178000,0.1663
207.160.220.252:37643,<->,0.195.210.46:https,0,0,6,559,6,559,1.249810000,0.4803
220.40.166.218:44019,<->,133.178.226.28:https,0,0,6,1461,6,1461,1.248230000,0.7349
196.89.228.87:60617,<->,136.25.188.255:https,0,0,6,1636,6,1636,1.245814000,0.5237
196.91.196.237:52290,<->,215.158.239.76:https,0,0,6,1203,6,1203,1.245508000,0.7511
199.69.182.51:17439,<->,136.25.188.53:https,0,0,6,645,6,645,1.245475000,0.7193
195.55.190.198:33225,<->,215.158.239.92:https,0,0,6,645,6,645,1.244859000,0.6524
136.25.189.22:47051,<->,98.219.126.140:http,6,5146,0,0,6,5146,1.242525000,0.0676
122.159.31.168:46783,<->,215.158.238.82:https,0,0,6,1397,6,1397,1.241458000,0.1351
195.70.205.28:11324,<->,136.25.188.236:https,0,0,6,933,6,933,1.241442000,0.4875
136.181.39.147:33233,<->,0.195.216.195:https,6,447,0,0,6,447,1.239457000,0.2284
207.62.182.244:12375,<->,136.25.188.252:https,0,0,6,400,6,400,1.238388000,0.0115
143.135.8.163:12637,<->,136.25.188.163:https,0,0,6,400,6,400,1.237961000,0.0156
197.107.44.87:precise-sft,<->,136.25.188.209:https,0,0,6,412,6,412,1.237947000,0.3425
139.148.27.43:33609,<->,8.182.239.241:http,0,0,6,1032,6,1032,1.236760000,0.3669
91.69.185.180:10729,<->,144.85.170.254:http,0,0,6,1037,6,1037,1.232547000,0.0872
215.158.239.239:44369,<->,129.175.139.243:https,6,4869,0,0,6,4869,1.230436000,0.6541
142.241.142.229:46660,<->,136.25.188.174:https,0,0,6,1845,6,1845,1.229229000,0.6801
126.100.242.174:50726,<->,159.137.162.213:http,0,0,6,882,6,882,1.228943000,0.7024
105.163.53.213:56018,<->,80.41.26.51:44137,0,0,6,368,6,368,1.228894000,0.3346
206.103.249.181:60714,<->,215.158.238.107:https,0,0,6,1589,6,1589,1.227076000,0.1054
192.171.32.183:41764,<->,136.25.189.15:https,0,0,6,2506,6,2506,1.227069000,0.5589
199.9.96.56:50462,<->,246.253.253.213:https,0,0,6,4184,6,4184,1.224267000,0.6385
231.142.229.46:35332,<->,136.25.188.222:https,0,0,6,412,6,412,1.223927000,0.0180
195.40.118.199:60997,<->,136.25.188.226:https,0,0,6,1562,6,1562,1.223858000,0.5189
193.10.94.23:46819,<->,136.25.188.162:https,0,0,6,1557,6,1557,1.221528000,0.2955
215.158.239.1:53794,<->,96.135.154.141:http,6,6798,0,0,6,6798,1.220773000,0.0068
41.60.116.4:46243,<->,136.25.188.238:https,0,0,6,646,6,646,1.220479000,0.1355
195.71.91.68:50087,<->,215.158.239.76:https,0,0,6,2565,6,2565,1.220097000,0.6531
195.5.152.124:29616,<->,136.25.188.237:https,0,0,6,646,6,646,1.218462000,0.5833
141.118.203.106:35480,<->,8.252.221.236:http,0,0,6,1576,6,1576,1.214615000,0.6966
207.61.68.151:49427,<->,136.25.188.174:https,0,0,6,2275,6,2275,1.214417000,0.5706
148.240.82.247:22764,<->,0.195.210.46:https,0,0,6,528,6,528,1.214127000,0.5346
110.240.17.32:56023,<->,159.137.162.213:http,0,0,6,882,6,882,1.211459000,0.3382
56.97.187.17:50318,<->,133.178.226.197:http,0,0,6,440,6,440,1.207920000,0.0565
195.81.3.132:51114,<->,215.158.239.97:https,0,0,6,1839,6,1839,1.207459000,0.6000
196.246.202.18:53691,<->,136.25.188.177:https,0,0,6,1016,6,1016,1.206050000,0.7399
132.200.62.137:36177,<->,132.200.51.75:nicname,6,2437,0,0,6,2437,1.205570000,0.3079
8.176.8.104:37614,<->,215.158.61.183:https,6,6405,0,0,6,6405,1.204475000,0.0862
54.42.178.167:51884,<->,101.70.96.209:ssh,0,0,6,613,6,613,1.203022000,0.4421
38.104.11.27:36741,<->,215.158.238.83:https,0,0,6,1461,6,1461,1.202566000,0.2728
210.158.44.59:38493,<->,91.231.212.165:http,6,4602,0,0,6,4602,1.200600000,0.2149
142.229.12.248:38369,<->,136.25.188.163:https,0,0,6,1881,6,1881,1.200363000,0.5463
133.178.227.6:50000,<->,129.80.130.60:https,6,5306,0,0,6,5306,1.200139000,0.0612
48.131.157.39:44013,<->,215.158.239.92:https,0,0,6,1637,6,1637,1.199765000,0.2567
65.27.220.201:65307,<->,215.158.239.77:https,0,0,6,2778,6,2778,1.199003000,0.7776
125.220.197.150:49309,<->,159.137.162.213:http,0,0,6,882,6,882,1.198916000,0.6280
195.43.148.38:50089,<->,215.158.239.79:https,0,0,6,349,6,349,1.198751000,0.2710
215.158.239.105:35809,<->,215.158.61.202:https,6,6821,0,0,6,6821,1.197391000,0.0027
29.211.165.35:61047,<->,215.158.238.236:http,0,0,6,1396,6,1396,1.197388000,0.1211
132.213.199.17:59464,<->,212.164.143.185:http,0,0,6,579,6,579,1.195604000,0.0678
207.166.98.166:48716,<->,215.158.239.69:https,0,0,6,1849,6,1849,1.194190000,0.7501
50.16.84.105:63501,<->,8.52.182.85:https,0,0,6,663,6,663,1.192041000,0.1357
8.219.187.244:54813,<->,215.158.239.34:http,0,0,6,1245,6,1245,1.191620000,0.2793
145.89.249.42:51775,<->,50.224.76.230:http,0,0,6,1128,6,1128,1.191500000,0.1636
196.93.119.213:57722,<->,215.158.239.56:https,0,0,6,336,6,336,1.191169000,0.6379
199.82.203.26:22956,<->,136.25.188.199:https,0,0,6,594,6,594,1.187906000,0.3930
96.156.169.230:49067,<->,136.25.189.88:https,0,0,6,3162,6,3162,1.187699000,0.7396
204.226.36.140:57624,<->,215.158.239.86:https,0,0,6,412,6,412,1.186293000,0.0018
144.87.238.91:60374,<->,8.182.245.110:https,0,0,6,986,6,986,1.185827000,0.1660
116.107.47.34:63205,<->,136.25.188.55:https,0,0,6,1509,6,1509,1.185493000,0.2187
202.33.252.100:24231,<->,136.25.188.179:https,0,0,6,424,6,424,1.178727000,0.0592
17.96.223.98:57100,<->,8.220.191.251:http,0,0,6,1090,6,1090,1.177801000,0.7864
196.245.4.133:50778,<->,136.25.188.220:https,0,0,6,1552,6,1552,1.177283000,0.8207
192.227.190.25:57100,<->,8.252.223.175:http,0,0,6,2555,6,2555,1.177249000,0.4646
204.200.33.245:41248,<->,136.25.188.196:https,0,0,6,636,6,636,1.174742000,0.7266
196.106.141.2:43154,<->,215.158.239.96:https,0,0,6,1853,6,1853,1.171906000,0.6009
198.230.46.183:49609,<->,159.137.162.213:http,0,0,6,890,6,890,1.170210000,0.7538
199.121.94.233:dc,<->,136.25.188.176:https,0,0,6,596,6,596,1.170165000,0.3099
199.20.29.151:35726,<->,215.158.239.92:https,0,0,6,1882,6,1882,1.167085000,0.7109
215.201.227.68:30767,<->,8.182.233.43:https,0,0,6,639,6,639,1.165321000,0.3480
204.186.141.244:14980,<->,136.25.188.53:https,0,0,6,429,6,429,1.164928000,0.0101
91.51.152.82:57831,<->,8.53.2.189:http,0,0,6,497,6,497,1.163708000,0.1410
91.57.162.216:37802,<->,136.25.188.225:https,0,0,6,1557,6,1557,1.163269000,0.1354
129.225.131.138:41587,<->,129.225.132.224:http,0,0,6,909,6,909,1.163263000,0.1508
195.83.248.246:57061,<->,215.158.239.86:https,0,0,6,412,6,412,1.162582000,0.0100
136.25.188.50:45912,<->,0.195.253.228:http,6,6417,0,0,6,6417,1.161905000,0.0125
113.23.117.86:38170,<->,215.158.238.143:https,0,0,6,1509,6,1509,1.161345000,0.1078
199.15.18.41:50329,<->,136.25.188.238:https,0,0,6,412,6,412,1.161317000,0.0148
199.82.190.234:41768,<->,136.25.188.176:https,0,0,6,349,6,349,1.160727000,0.6159
91.51.152.82:42013,<->,8.53.2.189:http,0,0,6,497,6,497,1.160045000,0.1486
199.82.190.234:56062,<->,215.158.239.79:https,0,0,6,349,6,349,1.159803000,0.4730
91.69.181.209:5536,<->,144.85.170.254:http,0,0,6,732,6,732,1.159585000,0.0848
29.157.49.25:58928,<->,159.137.162.213:http,0,0,6,882,6,882,1.158847000,0.6093
199.69.65.114:33773,<->,215.158.239.85:https,0,0,6,436,6,436,1.156566000,0.6056
136.25.189.202:43504,<->,129.222.39.213:https,6,3010,0,0,6,3010,1.154536000,0.0407
112.220.206.117:35036,<->,136.25.188.52:https,0,0,6,1381,6,1381,1.152762000,0.1096
131.36.198.57:50288,<->,215.158.238.95:http,0,0,6,1693,6,1693,1.152657000,0.1018
202.33.126.121:29646,<->,136.25.188.209:https,0,0,6,412,6,412,1.152522000,0.0020
207.228.230.155:56831,<->,215.158.239.48:https,0,0,6,412,6,412,1.151452000,0.0080
199.20.4.30:40076,<->,215.158.239.51:https,0,0,6,1879,6,1879,1.151325000,0.5840
89.183.104.179:63034,<->,192.76.122.50:http,6,2310,0,0,6,2310,1.149180000,0.3095
101.87.173.115:47256,<->,100.228.42.97:https,0,0,6,2693,6,2693,1.147565000,0.0517
146.149.83.187:62379,<->,8.252.221.198:http,0,0,6,1049,6,1049,1.146891000,0.7950
112.235.86.193:55700,<->,215.158.239.244:http,0,0,6,442,6,442,1.145985000,0.2794
199.20.30.2:52354,<->,215.158.239.87:https,0,0,6,1866,6,1866,1.144923000,0.6111
66.47.82.31:51713,<->,8.252.222.134:https,0,0,6,400,6,400,1.144759000,0.0116
199.20.31.127:27968,<->,215.158.239.95:https,0,0,6,336,6,336,1.144325000,0.0701
215.158.140.11:34421,<->,215.158.61.145:https,6,6357,0,0,6,6357,1.143384000,0.0026
196.104.174.247:52293,<->,215.158.239.57:https,0,0,6,635,6,635,1.143356000,0.0595
204.3.40.131:48963,<->,136.25.188.174:https,0,0,6,349,6,349,1.142162000,0.4028
195.42.108.172:47043,<->,136.25.188.243:https,0,0,6,349,6,349,1.138435000,0.2636
195.55.11.216:54225,<->,215.158.239.78:https,0,0,6,343,6,343,1.138229000,0.2240
8.176.8.202:39378,<->,215.158.61.195:http,6,7503,0,0,6,7503,1.135133000,0.1831
67.225.231.172:11299,<->,132.222.168.39:6881,0,0,6,336,6,336,1.134644000,0.5710
216.144.222.136:16748,<->,215.158.140.144:http,0,0,6,1689,6,1689,1.133755000,0.1161
17.5.13.62:28339,<->,8.52.179.237:http,0,0,6,501,6,501,1.133157000,0.0786
143.79.216.80:52935,<->,136.25.188.176:https,0,0,6,1578,6,1578,1.132604000,0.6314
199.82.179.248:27809,<->,136.25.188.242:https,0,0,6,400,6,400,1.131057000,0.0172
207.172.206.228:20356,<->,136.25.188.237:https,0,0,6,670,6,670,1.130834000,0.6492
199.82.190.234:45875,<->,215.158.239.76:https,0,0,6,349,6,349,1.130751000,0.4491
143.79.216.80:52602,<->,136.25.188.46:https,0,0,6,349,6,349,1.130196000,0.3114
194.233.57.116:29604,<->,136.25.188.255:https,0,0,6,1854,6,1854,1.129354000,0.7208
144.93.201.3:11540,<->,8.220.186.82:http,0,0,6,428,6,428,1.127863000,0.0897
8.252.222.130:40124,<->,215.158.30.165:https,6,5162,0,0,6,5162,1.127592000,0.2745
131.144.114.248:45853,<->,133.178.227.76:http,0,0,6,2407,6,2407,1.126291000,0.3933
75.214.101.131:49367,<->,8.252.221.199:http,0,0,6,710,6,710,1.123293000,0.3594
199.80.80.167:42045,<->,136.25.188.174:https,0,0,6,336,6,336,1.123104000,0.1816
195.13.251.5:59603,<->,136.25.188.220:https,0,0,6,488,6,488,1.120864000,0.5058
199.14.3.9:36158,<->,136.25.188.255:https,0,0,6,312,6,312,1.119737000,0.2193
207.173.96.90:56508,<->,136.25.188.255:https,0,0,6,576,6,576,1.117971000,0.7398
215.158.239.113:33353,<->,129.222.39.37:https,6,3362,0,0,6,3362,1.117197000,0.0496
207.63.43.133:28328,<->,136.25.188.44:https,0,0,6,570,6,570,1.116638000,0.6845
97.242.126.187:55617,<->,129.224.112.252:domain,0,0,6,390,6,390,1.115275000,0.3284
207.60.47.4:60255,<->,215.158.239.95:https,0,0,6,1838,6,1838,1.114803000,0.7502
204.226.53.177:62716,<->,215.158.239.94:https,0,0,6,412,6,412,1.112271000,0.0033
199.32.195.137:zep,<->,136.25.188.238:https,0,0,6,400,6,400,1.109701000,0.0089
92.27.27.169:54539,<->,48.109.246.250:31301,6,311,0,0,6,311,1.109572000,0.8818
192.226.161.17:42878,<->,133.178.226.29:https,0,0,6,1477,6,1477,1.108919000,0.3889
207.173.149.81:31796,<->,136.25.188.176:https,0,0,6,1355,6,1355,1.108883000,0.7999
143.155.227.59:52345,<->,133.178.226.38:https,0,0,6,349,6,349,1.107624000,0.2127
142.182.49.179:53956,<->,215.158.239.70:https,0,0,6,705,6,705,1.107335000,0.4581
199.20.6.208:4276,<->,215.158.239.56:https,0,0,6,1562,6,1562,1.106063000,0.7999
195.126.25.205:43894,<->,136.25.188.236:https,0,0,6,349,6,349,1.104843000,0.2701
96.156.169.223:39793,<->,136.25.189.13:http,0,0,6,3347,6,3347,1.103942000,0.7192
195.14.65.48:45719,<->,136.25.188.174:https,0,0,6,400,6,400,1.102480000,0.0612
197.161.240.141:43333,<->,136.25.188.239:https,0,0,6,400,6,400,1.102227000,0.0202
204.186.0.10:33150,<->,136.25.188.175:https,0,0,6,360,6,360,1.101571000,0.0007
80.57.141.65:60411,<->,133.178.227.2:http,0,0,6,1413,6,1413,1.100866000,0.0303
215.158.238.144:60949,<->,0.195.253.228:https,6,7748,0,0,6,7748,1.099424000,0.7311
97.126.0.114:11630,<->,56.121.22.229:https,6,3775,0,0,6,3775,1.098716000,0.1694
35.56.3.196:46803,<->,144.86.149.46:http,0,0,6,820,6,820,1.098397000,0.0846
142.167.167.81:candrp,<->,136.25.188.242:https,0,0,6,312,6,312,1.096737000,0.2404
112.30.205.142:62362,<->,159.137.162.213:http,0,0,6,882,6,882,1.096468000,0.7883
143.155.227.54:55922,<->,136.25.188.211:https,0,0,6,1665,6,1665,1.096139000,0.2914
8.222.212.106:45133,<->,133.178.227.12:http,0,0,6,2859,6,2859,1.095629000,0.1845
117.56.163.126:60786,<->,159.137.162.213:http,0,0,6,882,6,882,1.094539000,0.6256
109.222.238.4:58193,<->,54.43.164.11:http,6,407,0,0,6,407,1.094478000,0.2478
29.212.199.227:62989,<->,136.25.189.34:https,0,0,6,2666,6,2666,1.093859000,0.6661
