src,<->,dest,in_frames,in_bytes,out_frames,out_bytes,total_frames,total_bytes,rel_start,duration
113.24.27.181,<->,97.126.31.80,0,0,1,1002,1,1002,1.468936000,0.0000
127.190.126.87,<->,56.121.48.108,0,0,1,74,1,74,1.468819000,0.0000
142.167.1.136,<->,136.25.188.53,0,0,1,68,1,68,1.468718000,0.0000
108.180.193.84,<->,8.53.0.222,0,0,1,50,1,50,1.468652000,0.0000
113.167.79.244,<->,20.116.112.253,0,0,1,60,1,60,1.468579000,0.0000
109.222.204.60,<->,109.36.8.231,1,77,0,0,1,77,1.468125000,0.0000
218.4.182.90,<->,159.42.43.112,1,56,0,0,1,56,1.467791000,0.0000
249.101.238.135,<->,94.233.224.195,1,133,0,0,1,133,1.467747000,0.0000
106.226.78.72,<->,20.215.108.126,0,0,1,64,1,64,1.467628000,0.0000
104.157.21.26,<->,39.205.60.126,0,0,1,70,1,70,1.467308000,0.0000
215.158.239.48,<->,204.0.147.7,1,64,0,0,1,64,1.466610000,0.0000
42.48.37.101,<->,39.52.144.139,0,0,1,52,1,52,1.466572000,0.0000
111.60.203.97,<->,109.222.195.232,0,0,1,71,1,71,1.466557000,0.0000
101.224.183.152,<->,97.193.106.236,1,68,0,0,1,68,1.466500000,0.0000
100.182.99.11,<->,20.179.123.155,0,0,1,52,1,52,1.466374000,0.0000
199.20.77.150,<->,109.222.195.53,0,0,1,52,1,52,1.466161000,0.0000
215.158.239.70,<->,207.114.98.247,1,96,0,0,1,96,1.466137000,0.0000
202.33.77.136,<->,136.25.188.178,0,0,1,50,1,50,1.465942000,0.0000
144.75.218.235,<->,138.127.231.194,1,365,0,0,1,365,1.465898000,0.0000
144.75.218.235,<->,132.200.120.209,1,142,0,0,1,142,1.465285000,0.0000
138.127.224.169,<->,97.126.26.70,0,0,1,252,1,252,1.465248000,0.0000
92.27.219.61,<->,88.45.125.170,1,52,0,0,1,52,1.465247000,0.0000
111.151.107.247,<->,8.252.222.246,0,0,1,155,1,155,1.465128000,0.0000
193.46.99.105,<->,109.1.34.223,0,0,1,304,1,304,1.464657000,0.0000
92.27.219.58,<->,0.66.204.255,1,149,0,0,1,149,1.464616000,0.0000
202.33.245.28,<->,136.25.188.240,0,0,1,50,1,50,1.464438000,0.0000
215.158.239.97,<->,195.49.241.78,1,50,0,0,1,50,1.464186000,0.0000
132.103.198.103,<->,119.121.24.104,1,64,0,0,1,64,1.463945000,0.0000
129.224.112.252,<->,114.145.122.138,1,80,0,0,1,80,1.463813000,0.0000
200.174.106.10,<->,54.37.53.245,1,56,0,0,1,56,1.463728000,0.0000
72.195.7.193,<->,39.231.47.182,0,0,1,64,1,64,1.463604000,0.0000
145.252.125.198,<->,97.110.148.19,1,87,0,0,1,87,1.463511000,0.0000
144.84.231.127,<->,50.224.75.42,0,0,1,64,1,64,1.463364000,0.0000
197.113.99.174,<->,136.25.188.55,0,0,1,56,1,56,1.463023000,0.0000
144.107.24.11,<->,91.231.194.48,0,0,1,68,1,68,1.462927000,0.0000
80.9.14.182,<->,48.53.90.113,0,0,1,323,1,323,1.462838000,0.0000
144.75.218.242,<->,138.127.231.29,1,254,0,0,1,254,1.462559000,0.0000
